year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,701720,792000,-58000,-90280,-8,-11,335
2011,65190,65190,0,0,0,0,40
2011,133560,287002,-134911,-153442,-52,-53,279
2011,154760,137275,21205,17486,17,13,267
2011,550140,473001,88999,77139,21,16,321
2011,86258,86258,0,0,0,0,49
2011,330720,330720,0,0,0,0,1
2011,452912,452912,0,0,0,0,1
2011,204262,200672,10271,3590,6,2,243
2011,74200,198501,-110455,-124301,-61,-63,187
2011,68900,177650,-96500,-108750,-60,-61,234
2011,100700,117130,-15500,-16430,-14,-14,65
2011,169600,172823,-3041,-3223,-2,-2,95
2011,158894,153346,10495,5549,8,4,255
2011,91160,141409,-42554,-50249,-33,-36,146
2011,175960,128260,45000,47700,37,37,12
2011,287260,313500,-14000,-26240,-5,-8,294
2011,452912,470003,0,-17091,0,-4,297
2011,196100,190800,5000,5300,3,3,36
2011,167480,152033,14573,15447,10,10,125
2011,201400,105735,90250,95665,90,90,94
2011,242086,291294,-46423,-49208,-17,-17,94
2011,339200,99000,230000,240200,256,243,224
2011,121900,209778,-82904,-87878,-42,-42,84
2011,172250,116325,56750,55925,54,48,226
2011,225780,398723,-149475,-172943,-41,-43,332
2011,258534,148500,108900,110034,81,74,134
2011,84694,126176,-34805,-41482,-30,-33,345
2011,371000,198000,170000,173000,94,87,168
2011,121900,142145,-19099,-20245,-14,-14,98
2011,84800,94976,-9600,-10176,-11,-11,93
2011,201400,332608,-112371,-131208,-37,-39,168
2011,148400,177650,-21500,-29250,-13,-16,269
2011,11,193543,-182578,-193533,-100,-100,123
2011,116070,153700,-35500,-37630,-24,-24,125
2011,42400,42400,0,0,0,0,6
2011,338575,372057,-18824,-33483,-6,-9,314
2011,625400,269500,345000,355900,141,132,246
2011,179140,100700,74000,78440,78,78,75
2011,95400,130587,-33195,-35187,-27,-27,91
2011,130778,212254,-69583,-81476,-36,-38,335
2011,429300,578600,-121000,-149300,-23,-26,263
2011,180200,222858,-32598,-42658,-16,-19,319
